ID,list of ingedients
1,creme de cacao  vodka  
2,absolut kurant  grand marnier  chambord raspberry liqueur  midori melon liqueur  malibu rum  amaretto  cranberry  pineapple  
3,lager  tequila  
4,malibu rum  light rum  151 proof rum  dark creme de cacao  cointreau  milk  coconut liqueur  vanilla ice-cream  
5,dark rum  light rum  vodka  orange  
6,goldschlager  jägermeister  rumple minze  151 proof rum  
7,151 proof rum  wild turkey  
8,jack daniels  johnnie walker  jim beam  
9,gin  light rum  tequila  triple sec  vodka  coca-cola  sweet and sour  bitters  lemon  
10,peach vodka  coca-cola  
11,vanilla vodka  grand marnier  orange  
12,blue curacao  blueberry schnapps  vodka  sour mix  7-up  
13,gin  7-up  lemon  
14,kahlua  baileys irish cream  frangelico  
15,absolut citron  orange curacao  strawberry liqueur  orange  
16,coconut rum  amaretto  orange  grenadine  
17,light rum  ginger beer  lemon  
18,vodka  peach schnapps  orange  cranberry  
19,light rum  añejo rum  orange  lemon  ginger ale  lemon  
20,amaretto  southern comfort  ice  sour mix  
21,cranberry  soda  midori melon liqueur  creme de banane  
22,amaretto  lemon  ice  maraschino cherry  
23,vodka  kirschwasser  strawberry liqueur  strawberries  schweppes russchian  
24,applejack  grapefruit  
25,white creme de menthe  southern comfort  vodka  hot chocolate  
26,gin  grand marnier  lemon  grenadine  
27,amaretto  baileys irish cream  cognac  
28,151 proof rum  wild turkey  
29,absolut vodka  gin  tonic  
30,gin  orange bitters  orange  cherry  
31,gin  sweet vermouth  orange  angostura bitters  
32,dark rum  peach nectar  orange  
33,vodka  sugar  anise  licorice root  wormwood  
34,absolut citron  pisang ambon  ice  bitter lemon  
35,absolut kurant  midori melon liqueur  cranberry  sprite  
36,absolut vodka  peach schnapps  coconut liqueur  cranberry  pineapple  
37,absolut citron  sweet and sour  sprite  soda  lemon  
38,absolut citron  lime  ice  tonic  
39,absolut vodka  cranberry  ginger ale  ice  
40,vodka  cranberry  champagne  
41,absolut citron  orange  triple sec  ginger ale  
42,light rum  triple sec  lime  sugar  egg white  mint  
43,gin  grenadine  heavy cream  milk  egg white  
44,dark rum  lemon  grenadine  
45,gin  cognac  creme de cassis  fresh lemon  
46,rum  vodka  tequila  triple sec  fruit  ice  salt  fruit  
47,vodka  lemonade   sugar  
48,sweet vermouth  dry vermouth  soda  
49,gin  vermouth  
50,vodka  grenadine  orange  
51,rum  dry vermouth  cognac  gin  fresh lime  sugar syrup   
52,sweet vermouth  sherry  orange bitters  
53,strawberry schnapps  orange  cranberry  club soda  
54,scotch  sweet vermouth  dry vermouth  orange bitters  
55,apricot brandy  triple sec  lime  lime  
56,peppermint schnapps  kahlua  baileys irish cream  
57,triple sec  apricot brandy  lemon  
58,vodka  creme de banane  orange  
59,grenadine  orange  pineapple  
60,kahlua  baileys irish cream  frangelico  coffee  cream  
61,southern comfort  amaretto  sloe gin  lemon  
62,orange bitters  gin  yellow chartreuse  lemon  
63,gin  creme de cacao  light cream  nutmeg  
64,lemon vodka  triple sec  pineapple  
65,blended whiskey  dry vermouth  pineapple  
66,grenadine  orange  pineapple  cream  
67,amaretto  grand marnier  southern comfort  
68,dry vermouth  bourbon  blackberry brandy  lemon  lemon  
69,dry vermouth  gin  kummel  
70,dark rum  kahlua  egg white  
71,amaretto  dark creme de cacao  coffee  
72,amaretto  creme de cacao  light cream  
73, ginger  guava  lemon  pineapple  sugar  pineapple  
74,amaretto  light cream  
75,sugar  food coloring  glycerine   apricot  almond flavoring  grain alcohol   brandy  food coloring  food coloring  
76,amaretto  lime  
77,amaretto  lime  club soda  
78,chocolate ice-cream  brandy  amaretto  
79,amaretto  sour mix  
80,amaretto  white creme de menthe  
81,amaretto  sour mix  orange  
82,sour mix  amaretto  tequila  orange  
83,amaretto  orange  grenadine  
84,triple sec  amaretto  cider  ice  
85,amaretto  sweet and sour  midori melon liqueur  pineapple  
86,tea  amaretto  whipped cream  
87,campari  sweet vermouth  lemon  orange  
88,apricot brandy  apple brandy  gin  
89,angelica root   food coloring  food coloring  almond  allspice  cinnamon  anise  coriander  marjoram leaves  vodka  sugar  
90,orange  grapefruit  apple  maraschino cherry  
91,berries  apple  
92,apple cider  brown sugar  lemonade  orange  cloves  allspice  nutmeg  cinnamon  
93,tequila  apple cider  
94,apple  carrot  
95,apple  malibu rum  cinnamon  
96,7-up  apple schnapps  
97,applejack  triple sec  lemon  
98,jack daniels  midori melon liqueur  sour mix  
99,light rum  apricot brandy  triple sec  lemon  egg white  orange  
100,apricot brandy  champagne  vodka  7-up  orange  
101,gin  wine  benedictine  lime  
102,vodka  grape soda  orange  ice  candy  
103,maui  mountain dew  ice  
104,champagne  green creme de menthe  
105,vodka  midori melon liqueur  sweet and sour  
106,absolut vodka  iced tea  
107,vodka  malibu rum  gold tequila  orange  pineapple  cream of coconut  grenadine  ice  pineapple  
108,vodka  gin  lime cordial  ice  
109,gin  grand marnier  lemon  lemon  
110,sweet vermouth  gin  bitters  
111,tea  rye whiskey  red wine  rum  brandy  benedictine  orange  lemon  
112,vodka  southern comfort  passion fruit syrup  sweet and sour  club soda  
113,lemonade  vodka  blue curacao  triple sec  sugar  ice  
114,jägermeister  goldschlager  
115,vodka  lime  soda  
116,crown royal  kahlua  cream  
117,vodka  pisang ambon  apple  lemon  lemonade  
118,gin  lemon  maraschino liqueur  
119,lemonade  vodka  rum  ginger ale  
120,baileys irish cream  grand marnier  kahlua  
121,kahlua  sambuca  grand marnier  
122,kahlua  milk  vanilla ice-cream  
123,kahlua  baileys irish cream  
124,light rum  lime  sugar syrup  grenadine  
125,baileys irish cream  vanilla ice-cream  cream  
126,scotch  sweet vermouth  dry vermouth  bitters  
127,cantaloupe  banana  
128,light rum  triple sec  banana  lime  sugar  cherry  
129,milk  orange  sugar syrup  banana  
130,strawberries  banana  yoghurt  milk  honey  
131,strawberries  banana  apple  
132,rum  galliano  pineapple  lime  prosecco  
133,vodka  coconut liqueur  blue curacao  sprite  
134,champagne  peach schnapps  
135,ice  vodka  peach nectar  peach schnapps  lemon  
136,brandy  gin  dry vermouth  carbonated  lemon  
137,everclear  wine  orange  kool-aid  
138,brandy  light rum  triple sec  lemon  
139,southern comfort  triple sec  lime  sour mix  
140,irish cream  goldschlager  
141,ale  guinness stout  
142,ice  chocolate syrup  cherry brandy  vodka  milk  
143,coffee liqueur  vodka  
144,guinness stout  root beer  
145,sweet vermouth  sloe gin  lemon  
146,dark rum  orange  surge  cranberry  
147,baileys irish cream  godiva liqueur  kahlua  butterscotch schnapps  milk  
