ID,elem
1,creme_de
2,cacao
3,vodka
4,grand_marnier
5,chambord_raspberry
6,liqueur
7,midori_melon
8,malibu_rum
9,amaretto
10,cranberry
11,pineapple
12,tequila
13,light_rum
14,151_proof
15,rum
16,cointreau
17,milk
18,coconut
19,vanilla_ice-cream
20,dark_rum
21,orange
22,jack_daniels
23,gin
24,triple_sec
25,coca-cola
26,sweet_and
27,sour
28,bitters
29,lemon
30,blue_curacao
31,sour_mix
32,7-up
33,kahlua_baileys
34,irish_cream
35,absolut_citron
36,grenadine
37,ginger
38,beer
39,peach_schnapps
40,ginger_ale
41,southern_comfort
42,ice
43,soda
44,maraschino_cherry
45,strawberries
46,grapefruit
47,white
48,menthe
49,chocolate
50,baileys_irish
51,cream
52,cognac
53,absolut
54,tonic
55,cherry
56,sweet_vermouth
57,sugar
58,sprite
59,lime
60,champagne
61,egg_white
62,mint
63,heavy_cream
64,cassis
65,salt
66,lemonade
67,dry_vermouth
68,syrup
69,sherry
70,club_soda
71,scotch
72,apricot_brandy
73,coffee
74,sloe_gin
75,light
76,nutmeg
77,blended_whiskey
78,bourbon
79,kahlua
80,food_coloring
81,brandy
82,tea
83,whipped_cream
84,apple
85,cinnamon
86,wine
87,benedictine
88,whiskey
89,red_wine
90,maraschino
91,banana
92,yoghurt
93,honey
94,galliano
95,carbonated
96,chocolate_syrup
97,powdered_sugar
98,sambuca
99,egg
100,cocoa_powder
101,vanilla_extract
102,olive
103,lemon-lime_soda
